DESCRIPCION;CODIGO_BARRAS
 AZUR DE PUIG 200ML;02944
10 HOLAS USO INDUSTRIAL;8,41212E+12
10 VASOS TUBO 300ML;8,4E+12
100 CAÑAS FLEXI  HONEST GREEN;05898
10U VASOS CARTON 25CL SABE;05691
20 CUCHARILLAS POSTRE SILVEX;8,42404E+12
20U TENEDORES REUTILIZABLES SABE;06240
2416 T 6;8,42788E+12
25 CUCHARAS VEGE;8,48003E+12
25 CUCHARITAS VEGE;8,48003E+12
25 PLATOS 16,5CM;8,48003E+12
25 PLATOS 22CM VEGE;8,48003E+12
25 PLATOS POSTRE SABE;8,48001E+12
25 PLATOS REDONDOS 170MM SOLIMAR;05653
25 PLATOS REDONDOS LLANOS SOLIMAR;8,42404E+12
25 TENEDORES VEGE;8,48003E+12
25 VASOS 22CL SABE;8,48001E+12
25 VASOS BLANCOS 220CC VEGE;8,48003E+12
25 VASOS TRANSPARENTES 330CC VEGE;8,48003E+12
3 EN 1 MULTIUSOS;5,03223E+12
3VOLUTION SMART PROGRAMMING TATAMI JAPONES;05663
4 QUESOS EN DADOS ENSALADA EL CASERIO 130GR;05529
4 QUESOS GRATINAR EL CASERIO 140GR;7,6222E+12
50 CHUCHARAS POSTRE SABE;8,48001E+12
50 CUCHARAS SABE;8,48001E+12
50 TENEDORES SABE;8,48001E+12
5TH AVENUE ELIZABETH ARDEN 125ML;085805390600
6 PERCHAS 29497 HOMENAJE;8,42284E+12
ABONO GEO VITAL KIRIKO 1L;8,41188E+12
ABONO GEO-VITAL KIRIKO 0,5L;8,41188E+12
ABONO LIQUIDO FLORABELLA 1L;4,00872E+12
ABONO ORGANICO UNIVERSAL DE LAZARO 1,5L;8,43701E+12
ABRILLANTADOR ASEVI 156U;06321
ABRILLANTADOR CARAMBA 750ML;8,41208E+12
ABRILLANTADOR FINISH 500ML;8,4101E+12
ABRILLANTADOR FLOTA 1L;8,41005E+12
ABRILLANTADOR LAVAVAJILLAS DOS ROSAS 1L;8,42825E+12
ABRILLANTADOR LAVAVAJILLAS LAGARTO 550ML;8,41076E+12
ABRILLANTADOR SOMAT 500ML;8,41044E+12
ACEITE BABY JOHNSON'S 500ML;3,57467E+12
ACEITE CARBONELL 1L;8,41001E+12
ACEITE DE GIRASOL DONSOL 1L;8,41041E+12
ACEITE DE OLIVA 3 ACEITUNAS 0,4º CEXAC;8,41286E+12
ACEITE DE OLIVA 3 ACEITUNAS 1º CEXAC;8,41286E+12
ACEITE DE OLIVA AMOLIVA 1L;
ACEITE DE OLIVA CLASSIC+ ELIGES 1L;8,48001E+12
ACEITE DE OLIVA DINTEL 1L;05868
ACEITE DE OLIVA EXCELENTUM LA MASIA 3L;8,43258E+12
ACEITE DE OLIVA HELCABO 1L;05478
ACEITE DE OLIVA LA MASIA 1L;8,43258E+12
ACEITE DE OLIVA SUMUM LA MASIA 1L;8,43258E+12
ACEITE DE OLIVA VIRGEN HELCABO 1L;8,41486E+12
ACEITE DE ORUJO 1L MILOLIVA;05715
ACEITE DINTEL 1L;8,41041E+12
ACEITE GIRASOL ELIGES 1L;8,48001E+12
ACEITE GIRASOL ELOSOL 1L;05591
ACEITE GIRASOL FONTASOL 1L;05659
ACEITE GIRASOL GUILLEN 1L;
ACEITE OLIVA CLASSIC ELIGES 1L;06145
ACEITE OLIVA GUILLEN 1L;8,41066E+12
ACEITE OLIVA GUILLEN 5L;8,41066E+12
ACEITE OLIVA HELCABO 1L;8,41486E+12
ACEITE OLIVA LA ESPAÑOLA 1L;8,41066E+12
ACEITE ORUJO AMOLIVA 1L;06264
ACEITE PROTECTOR BABARIA SF6 300ML;8,41041E+12
ACEITE PROTECTOR SF15 BABARIA 300ML;06179
ACEITE REFINADO ELIGES 1L;8,48001E+12
ACEITE SOLAR BABARIA 6;8,41041E+12
ACEITUNA CON PEPINILLO EN VINAGRE EL FARO 350GR;8,41081E+12
ACEITUNA DESHUESADA CON PEPINILLO CANO 0.5 KG;8,42302E+12
ACEITUNA GORDAL DESHUESADA CON PEPINILLO CANO 0.5 KG;8,42302E+12
ACEITUNA GORDAL DESHUESADA CON PEPINILLO CANO 1KG;8,42302E+12
ACEITUNAS ANCHOA BARRIOBERO 300GR;8,42329E+12
ACEITUNAS ANCHOA FRUYPER 300GR;8,41158E+12
ACEITUNAS MANZANILLA RELLENAS ANCHOAS YBARRA 350GR;8,41009E+12
ACEITUNAS NEGRAS 360GR HERACLIO;8,41086E+12
ACEITUNAS NEGRAS BARRIOBERO 450ML;8,42329E+12
ACEITUNAS NEGRAS CON HUESO FRUYPER;8,41158E+12
ACEITUNAS NEGRAS EL CARRETILLERO 345GR;8,41024E+12
ACEITUNAS NEGRAS SIN HUESO CARBONELL 340GR;05493
ACEITUNAS RELLENAS ANCHOA EL FARO 370ML;8,41081E+12
ACEITUNAS RELLENAS ANCHOA EL TORREON 350GR;8,41034E+12
ACEITUNAS RELLENAS ANCHOA FRUYPER 3U;06207
ACEITUNAS RELLENAS ANCHOA GIGANTES EL FARO 370ML;05716
ACEITUNAS RELLENAS ANCHOA LA ESPAÑOLA 370ML;8,41023E+12
ACEITUNAS RELLENAS ANCHOA LA EXPLANADA 150GR;8,41079E+12
ACEITUNAS RELLENAS PEPINILLO 340G HIMAFESA;8,42329E+12
ACEITUNAS RELLENAS PEPINILLO 700GR HIMAFESA;8,42329E+12
ACEITUNAS RELLENAS TORREON PACK 4;8,41034E+12
ACEITUNAS SIN HUESO BARRIOBERO 450ML;06216
ACEITUNAS SIN HUESO BARRIOBERO 550GR;8,42329E+12
ACELGA AL NATURAL VIS 660GR;8,41223E+12
ACELGAS ALSUR 660GR;8,42031E+12
ACELGAS ELIGES 660GR;8,48001E+12
ACELGAS YBARRA 720ML;8,41009E+12
